datetime,ws,wd,tmp,rh,wg
2025-01-07 00:00:00,12.5,45,18.0,8.0,22.0
2025-01-07 01:00:00,13.2,48,17.5,7.5,24.5
2025-01-07 02:00:00,14.1,50,17.0,7.0,26.0
2025-01-07 03:00:00,15.3,52,16.5,6.5,28.5
2025-01-07 04:00:00,16.2,50,16.0,6.0,31.0
2025-01-07 05:00:00,17.5,48,15.5,5.5,33.5
2025-01-07 06:00:00,18.3,45,15.0,5.0,35.0
2025-01-07 07:00:00,19.1,44,15.5,5.0,36.5
2025-01-07 08:00:00,20.2,42,16.5,5.5,38.0
2025-01-07 09:00:00,21.5,40,18.0,6.0,40.5
2025-01-07 10:00:00,22.3,38,19.5,6.5,42.0
2025-01-07 11:00:00,23.1,36,21.0,7.0,43.5
2025-01-07 12:00:00,22.5,35,22.5,7.5,42.0
2025-01-07 13:00:00,21.8,36,23.5,8.0,40.5
2025-01-07 14:00:00,21.2,38,24.0,8.5,39.0
2025-01-07 15:00:00,20.5,40,23.5,9.0,38.0
2025-01-07 16:00:00,19.8,42,22.5,9.5,36.5
2025-01-07 17:00:00,18.9,44,21.0,10.0,35.0
2025-01-07 18:00:00,18.1,45,19.5,10.5,33.5
2025-01-07 19:00:00,17.2,46,18.5,11.0,31.0
2025-01-07 20:00:00,16.5,47,17.5,11.5,29.5
2025-01-07 21:00:00,15.8,48,17.0,12.0,28.0
2025-01-07 22:00:00,15.1,49,16.5,12.5,26.5
2025-01-07 23:00:00,14.5,50,16.0,13.0,25.0
