grid_id,region,latitude,longitude,timestamp,resolution_km,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,soil_moisture_0_to_7cm,vpd,fire_weather_index,fuel_model_fbfm40,canopy_cover_pct,vegetation_type,ndvi,elevation_m,slope_degrees,aspect_degrees,active_fire_count,mean_frp,median_frp,max_confidence,nearest_fire_distance_km,fire_detected_binary,days_since_last_precipitation,cumulative_wind_run_24h,drought_index_proxy,data_quality_flag,dominant_fuel_fraction,date
822937fffffffff,california,30.354437,-121.787719,2024-06-01 00:00:00+00:00,64,16.0625,81.95833333333333,32.643750000000004,326.19714106108324,0,0,0.32979166666666665,7.321466,,-9999,,,,,,0,0,0,0,-1,0,2,1566.9000000000003,0.4968518518518519,5,,6/1/24
822987fffffffff,california,36.823438,-116.046735,2024-06-01 00:00:00+00:00,64,27.445833333333336,12.875,12.485416666666666,237.89626078412118,0,0.017479166666666667,3.3052083333333333,16.733288,101,1.7955718722362766,7082,0.15567413340399963,1273.9799942132022,3.681399642975241,163.54866396326534,0,0,0,0,-1,0,2,599.3,0.5461092592592593,0,0.34152938,6/1/24
8228a7fffffffff,california,41.719697,-117.328141,2024-06-01 00:00:00+00:00,64,14.0625,29.708333333333332,9.435416666666667,22.22415504447499,0.1,0.032291667,1.2345833333333334,5.8420296,122,0.6597433700488278,7080,0.22039923081366225,1655.254154576629,2.8284258770772883,239.18700734408452,0,0,0,0,-1,0,2,452.90000000000003,0.45990740740740743,0,0.3454284564007804,6/1/24
82290ffffffffff,california,34.484625,-126.603415,2024-06-01 00:00:00+00:00,64,14.597916666666668,86.6875,37.610416666666666,333.29092957109077,0,0,0.22333333333333336,7.7589684,,,,,,,,0,0,0,0,-1,0,2,1805.3000000000002,0.48871527777777785,4,,6/1/24
82299ffffffffff,california,39.617628,-114.776561,2024-06-01 00:00:00+00:00,64,19.054166666666667,21.8125,7.83125,14.814069068958993,0,0.038416667,1.8343749999999999,7.9121366,145,5.5852147689298235,7080,0.20020540876129794,1981.4594957003353,3.2222172879317883,12.675638830213382,0,0,0,0,-1,0,2,375.8999999999999,0.4827388888888889,0,0.2946246637867797,6/1/24
822817fffffffff,california,40.980162,-121.113641,2024-06-01 00:00:00+00:00,64,16.618750000000002,30.645833333333332,7.989583333333333,64.70004507087658,0,0.2641041666666667,1.4052083333333334,5.791907,122,16.67985321567962,7080,0.4345579672886687,1347.8096626307747,3.635081403550018,230.1808737860052,0,0,0,0,-1,0,2,383.5,0.2886587962962963,0,0.22702782962837265,6/1/24
82484ffffffffff,california,31.07111,-118.380451,2024-06-01 00:00:00+00:00,64,15.083333333333334,86.16666666666667,24.06458333333333,308.3594260921038,0.1,0,0.23750000000000002,4.142865,98,-9931.904749,7292,0.40592210195291534,0,0,0,0,0,0,0,-1,0,2,1155.1,0.4914120370370371,0,0.46909667194928684,6/1/24
8229b7fffffffff,california,34.580911,-113.628332,2024-06-01 00:00:00+00:00,64,30.8875,12.166666666666666,8.88125,218.46353032543038,0,0.022000000000000002,4.0754166666666665,16.25167,122,3.7804404277506287,7109,0.22233665855784282,568.8567926956308,2.290681826015687,185.4181110836348,0,0,0,0,-1,0,2,426.3,0.561612963,0,0.29738074304291817,6/1/24
8228affffffffff,california,43.698313,-119.961358,2024-06-01 00:00:00+00:00,64,14.408333333333333,34.916666666666664,9.183333333333334,359.05706389061277,0,0.026020833333333337,1.2114583333333333,5.148998,122,11.61680994118204,7080,,,,,0,0,0,0,-1,0,2,440.8,0.4668453703703704,5,0.28394659034712066,6/1/24
82298ffffffffff,california,38.960282,-118.543846,2024-06-01 00:00:00+00:00,64,21.777083333333334,18.1875,8.720833333333333,319.09302709670396,0,0.017,2.261458333333333,10.098208,122,7.218260371662069,7080,0.23026323217493747,1838.2856904880894,4.110307801828252,306.28405924447674,0,0,0,0,-1,0,2,418.6000000000001,0.5149995370370372,0,0.144927385,6/1/24
822837fffffffff,california,38.193209,-122.196197,2024-06-01 00:00:00+00:00,64,19.572916666666668,59.104166666666664,11.777083333333332,245.05544748270765,0,0.11602083333333334,1.1827083333333333,4.059584,102,-1649.819635,9301,0.5383573148838018,224.62937124111536,1.7710454397295994,336.9931888604692,0,0,0,0,-1,0,2,565.3,0.42353749999999996,0,0.23616643264463993,6/1/24
8229a7fffffffff,california,33.969092,-117.246454,2024-06-01 00:00:00+00:00,64,17.764583333333334,68.66666666666667,10.560416666666667,329.5910663129874,0,0.0335625,0.8606250000000001,3.3803725,101,-1663.968845,7087,0.2726909520913938,575.8655648321691,2.616281654668598,358.5956194094066,0,0,0,0,-1,0,2,506.90000000000003,0.4794578703703704,0,0.20707607974669287,6/1/24
82281ffffffffff,california,42.874491,-123.748579,2024-06-01 00:00:00+00:00,64,13.047916666666666,64.89583333333333,10.160416666666666,337.4674928938176,0,0.3206875,0.6479166666666667,3.2276142,165,-2642.802198,7043,0.6499715942516536,830.1980380730381,6.445819371600622,330.08221848098606,0,0,0,0,-1,0,2,487.7,0.22355416666666664,0,0.23099297583315284,6/1/24
822917fffffffff,california,33.261654,-120.768696,2024-06-01 00:00:00+00:00,64,13.933333333333332,87.66666666666667,28.09583333333333,314.6438114435274,0,0,0.19708333333333336,4.756295,98,-9106.918258,7292,0.5311406781663106,31.59792733698745,0.470707095,358.7278681876819,0,0,0,0,-1,0,2,1348.6,0.4850231481481481,0,0.4775232018561485,6/1/24
822887fffffffff,california,44.400306,-116.036346,2024-06-01 00:00:00+00:00,64,9.025,63.729166666666664,5.283333333333333,314.89763701472276,0.2,0.3746041666666667,0.5443749999999999,2.2050757,122,12.376121612037865,7125,,,,,0,0,0,0,-1,0,2,253.6,0.15807129629629632,5,0.2523100325819946,6/1/24
822827fffffffff,california,37.330339,-125.710645,2024-06-01 00:00:00+00:00,64,13.566666666666668,87.4375,39.831250000000004,329.5865470501636,0,0,0.19625,8.252903,,,,,0,0,0,0,0,0,0,-1,0,2,1911.9000000000003,0.4829861111111111,5,,6/1/24
822997fffffffff,california,37.402442,-112.312509,2024-06-01 00:00:00+00:00,64,17.58125,19.333333333333332,13.214583333333332,250.35933304652013,0.5,0.10066666666666667,1.7127083333333333,10.418604,122,8.346996194640111,7016,0.2528408751095066,1707.2655233589592,2.185946798,223.83498161883387,0,0,0,0,-1,0,2,634.3,0.42475601851851846,0,0.3048943405392276,6/1/24
822907fffffffff,california,32.470766,-124.17341,2024-06-01 00:00:00+00:00,64,15.154166666666667,86.08333333333333,37.2125,331.18396894058094,0,0,0.2404166666666667,7.824326,,,,,,,,0,0,0,0,-1,0,2,1786.2,0.49180555555555555,4,,6/1/24
82291ffffffffff,california,35.351579,-123.214462,2024-06-01 00:00:00+00:00,64,13.977083333333333,84.60416666666667,36.170833333333334,323.6019682838908,0,0,0.24666666666666667,7.70969,98,-9354.528378,7292,0.666287388,34.657760971981155,0.48662898203699595,358.40998552346844,0,0,0,0,-1,0,2,1736.1999999999998,0.4852662037037037,0,0.35413056036972845,6/1/24
8228b7fffffffff,california,42.336666,-113.430901,2024-06-01 00:00:00+00:00,64,15.095833333333333,27.3125,7.216666666666666,309.8606702338006,0,0.026854166666666665,1.335625,5.706131,122,3.180596545673979,7080,0.2200099223838891,1890.592793490895,2.7394517250460093,91.77764502364596,0,0,0,0,-1,0,2,346.3999999999999,0.4699981481481481,0,0.2872080404864048,6/1/24
8229affffffffff,california,36.13581,-119.688987,2024-06-01 00:00:00+00:00,64,28.18541666666667,22.9375,6.9312499999999995,334.35642141869204,0,0.137,3.2708333333333335,10.220413,102,-337.9188468,9301,0.4163413068667344,811.2720121796499,3.8102134388187885,275.41051256701405,0,0,0,0,-1,0,2,332.7,0.45460138888888885,0,0.26572028063733527,6/1/24
822807fffffffff,california,40.131717,-124.76073,2024-06-01 00:00:00+00:00,64,12.083333333333334,83.95833333333333,43.37708333333333,346.02059664171736,0,0,0.2275,10.428263,165,-2351.827183,7043,0.7217007025940587,511.36098173197604,4.354887009892966,344.0890967198723,0,0,0,0,-1,0,2,2082.1,0.4747453703703704,0,0.33061852574688483,6/1/24
82485ffffffffff,california,31.705258,-114.87464,2024-06-01 00:00:00+00:00,64,27.6375,59.104166666666664,16.002083333333335,135.11863594398463,0,0.0151875,1.7129166666666666,6.248176,99,-4504.21555,7087,0.20546651120855733,165.82764541747156,1.0395563358553337,259.9221441972715,0,0,0,0,-1,0,2,768.1,0.5490074074074075,0,0.27770325164849696,6/1/24
822837fffffffff,california,38.193209,-122.196197,2024-06-02 00:00:00+00:00,64,18.366666666666667,62.604166666666664,14.310416666666667,237.16593773197127,0,0.11483333333333334,0.9620833333333333,4.248745,102,-1649.819635,9301,0.5383573148838018,224.62937124111536,1.7710454397295994,336.9931888604692,0,0,0,0,-1,0,2,686.9000000000001,0.41778611111111114,0,0.23616643264463993,6/2/24
822987fffffffff,california,36.823438,-116.046735,2024-06-02 00:00:00+00:00,64,27.020833333333332,14.3125,14.791666666666666,224.44603849304957,0,0.017,3.1870833333333333,17.483088,101,1.7955718722362766,7082,0.15567413340399963,1273.9799942132022,3.681399642975241,163.54866396326534,0,0,0,0,-1,0,2,710,0.5441314814814816,0,0.34152938,6/2/24
8228a7fffffffff,california,41.719697,-117.328141,2024-06-02 00:00:00+00:00,64,16.075,30.145833333333332,11.572916666666666,296.69400109997565,0.1,0.0329375,1.3683333333333334,6.9393144,122,0.6597433700488278,7080,0.22039923081366225,1655.254154576629,2.8284258770772883,239.18700734408452,0,0,0,0,-1,0,2,555.5,0.4705712962962963,0,0.3454284564007804,6/2/24
82290ffffffffff,california,34.484625,-126.603415,2024-06-02 00:00:00+00:00,64,14.950000000000001,88.5625,32.012499999999996,328.7899365191565,0,0,0.19375,5.641748,,,,,,,,0,0,0,0,-1,0,2,1536.5999999999997,0.4906712962962963,4,,6/2/24
82299ffffffffff,california,39.617628,-114.776561,2024-06-02 00:00:00+00:00,64,20.454166666666666,22.083333333333332,8.404166666666667,212.4700295445795,0,0.0385,1.9870833333333333,8.518501,145,5.5852147689298235,7080,0.20020540876129794,1981.4594957003353,3.2222172879317883,12.675638830213382,0,0,0,0,-1,0,2,403.3999999999999,0.49045,0,0.2946246637867797,6/2/24
822817fffffffff,california,40.980162,-121.113641,2024-06-02 00:00:00+00:00,64,16.239583333333332,36.375,9.408333333333333,288.4832174963455,0,0.2642083333333333,1.2560416666666667,5.3656487,122,16.67985321567962,7080,0.4345579672886687,1347.8096626307747,3.635081403550018,230.1808737860052,0,0,0,0,-1,0,2,451.6000000000001,0.2864689814814815,0,0.22702782962837265,6/2/24
82484ffffffffff,california,31.07111,-118.380451,2024-06-02 00:00:00+00:00,64,15.179166666666667,84.70833333333333,29.104166666666668,313.3869839218744,0.1,0,0.2635416666666667,5.6367245,98,-9931.904749,7292,0.40592210195291534,0,0,0,0,0,0,0,-1,0,2,1397,0.49194444444444446,0,0.46909667194928684,6/2/24
8229b7fffffffff,california,34.580911,-113.628332,2024-06-02 00:00:00+00:00,64,29.974999999999998,13.770833333333334,10.74375,204.10947751644156,0,0.022000000000000002,3.810416666666667,16.406494,122,3.7804404277506287,7109,0.22233665855784282,568.8567926956308,2.290681826015687,185.4181110836348,0,0,0,0,-1,0,2,515.6999999999999,0.5565435185185186,0,0.29738074304291817,6/2/24
8228affffffffff,california,43.698313,-119.961358,2024-06-02 00:00:00+00:00,64,15.345833333333333,40.375,13.414583333333333,318.01981070994395,1.1,0.026125,1.1435416666666667,3.3786616,122,11.61680994118204,7080,,,,,0,0,0,0,-1,0,2,643.9,0.4719703703703703,5,0.28394659034712066,6/2/24
82298ffffffffff,california,38.960282,-118.543846,2024-06-02 00:00:00+00:00,64,22.95625,20.5625,10.6625,313.34011596258495,0,0.016979166666666667,2.3577083333333335,10.823881,122,7.218260371662069,7080,0.23026323217493747,1838.2856904880894,4.110307801828252,306.28405924447674,0,0,0,0,-1,0,2,511.8,0.5215671296296297,0,0.144927385,6/2/24
822917fffffffff,california,33.261654,-120.768696,2024-06-02 00:00:00+00:00,64,13.96875,87.625,38.93541666666667,320.20701190279993,0,0,0.198125,7.9220676,98,-9106.918258,7292,0.5311406781663106,31.59792733698745,0.470707095,358.7278681876819,0,0,0,0,-1,0,2,1868.8999999999999,0.48521990740740745,0,0.4775232018561485,6/2/24
8229a7fffffffff,california,33.969092,-117.246454,2024-06-02 00:00:00+00:00,64,16.995833333333334,70.75,9.727083333333333,330.35551914577763,0,0.033583333,0.7447916666666666,3.0975266,101,-1663.968845,7087,0.2726909520913938,575.8655648321691,2.616281654668598,358.5956194094066,0,0,0,0,-1,0,2,466.8999999999999,0.4751703703703704,0,0.20707607974669287,6/2/24
822807fffffffff,california,40.131717,-124.76073,2024-06-02 00:00:00+00:00,64,11.639583333333334,91.89583333333333,27.460416666666664,331.1203477761977,0,0,0.11354166666666667,3.7830188,165,-2351.827183,7043,0.7217007025940587,511.36098173197604,4.354887009892966,344.0890967198723,0,0,0,0,-1,0,2,1318.1000000000001,0.47228009259259257,0,0.33061852574688483,6/2/24
82291ffffffffff,california,35.351579,-123.214462,2024-06-02 00:00:00+00:00,64,13.9625,88.125,37.325,323.66662172505687,0,0,0.19041666666666668,7.254356,98,-9354.528378,7292,0.666287388,34.657760971981155,0.48662898203699595,358.40998552346844,0,0,0,0,-1,0,2,1791.5999999999997,0.4851851851851852,0,0.35413056036972845,6/2/24
822887fffffffff,california,44.400306,-116.036346,2024-06-02 00:00:00+00:00,64,10.641666666666667,66.72916666666667,6.129166666666666,302.1413996574345,0.2,0.3705,0.5347916666666667,2.2837515,122,12.376121612037865,7125,,,,,0,0,0,0,-1,0,2,294.20000000000005,0.1703361111111111,5,0.2523100325819946,6/2/24
822827fffffffff,california,37.330339,-125.710645,2024-06-02 00:00:00+00:00,64,13.775,90.91666666666667,34.35208333333333,318.2674267655163,0,0,0.143125,5.6960063,,,,,0,0,0,0,0,0,0,-1,0,2,1648.9000000000003,0.4841435185185185,5,,6/2/24
822997fffffffff,california,37.402442,-112.312509,2024-06-02 00:00:00+00:00,64,17.820833333333333,17.041666666666668,17.402083333333334,254.52115082358497,0,0.097291667,1.7622916666666668,13.462845,122,8.346996194640111,7016,0.2528408751095066,1707.2655233589592,2.185946798,223.83498161883387,0,0,0,0,-1,0,2,835.2999999999998,0.4287870370370371,0,0.3048943405392276,6/2/24
822937fffffffff,california,30.354437,-121.787719,2024-06-02 00:00:00+00:00,64,16.114583333333332,83.0625,34.52291666666667,333.9281671376052,0,0,0.310625,7.7177587,,-9999,,,,,,0,0,0,0,-1,0,2,1657.1000000000001,0.4971412037037037,5,,6/2/24
82485ffffffffff,california,31.705258,-114.87464,2024-06-02 00:00:00+00:00,64,27.474999999999998,61.604166666666664,16.870833333333334,139.9311898147623,0,0.014104166666666666,1.5893750000000002,6.132913,99,-4504.21555,7087,0.20546651120855733,165.82764541747156,1.0395563358553337,259.9221441972715,0,0,0,0,-1,0,2,809.7999999999998,0.5489712962962964,0,0.27770325164849696,6/2/24
8228b7fffffffff,california,42.336666,-113.430901,2024-06-02 00:00:00+00:00,64,17.8,28.979166666666668,6.2250000000000005,284.58757868156476,0,0.027479166666666666,1.534375,5.7255454,122,3.180596545673979,7080,0.2200099223838891,1890.592793490895,2.7394517250460093,91.77764502364596,0,0,0,0,-1,0,2,298.8,0.4845212962962963,0,0.2872080404864048,6/2/24
8229affffffffff,california,36.13581,-119.688987,2024-06-02 00:00:00+00:00,64,27.45625,26.791666666666668,8.627083333333333,337.03673613511944,0,0.137,2.9920833333333334,9.754936,102,-337.9188468,9301,0.4163413068667344,811.2720121796499,3.8102134388187885,275.41051256701405,0,0,0,0,-1,0,2,414.09999999999997,0.4505504629629629,0,0.26572028063733527,6/2/24
822907fffffffff,california,32.470766,-124.17341,2024-06-02 00:00:00+00:00,64,15.3125,86.6875,35.016666666666666,335.0842717798055,0.1,0,0.23291666666666666,6.967732,,,,,,,,0,0,0,0,-1,0,2,1680.8,0.49268518518518517,4,,6/2/24
82281ffffffffff,california,42.874491,-123.748579,2024-06-02 00:00:00+00:00,64,12.497916666666667,75.58333333333333,9.706249999999999,264.92881748870093,2.7,0.32045833333333335,0.4141666666666666,0.3656223,165,-2642.802198,7043,0.6499715942516536,830.1980380730381,6.445819371600622,330.08221848098606,0,0,0,0,-1,0,0,465.8999999999999,0.21306620370370374,0,0.23099297583315284,6/2/24
822987fffffffff,california,36.823438,-116.046735,2024-06-03 00:00:00+00:00,64,26.993750000000002,16.541666666666668,12.479166666666666,228.57520473968842,0,0.016895833333333336,3.124791666666667,14.955085,101,1.7955718722362766,7082,0.15567413340399963,1273.9799942132022,3.681399642975241,163.54866396326534,0,0,0,0,-1,0,2,599,0.5440643518518519,0,0.34152938,6/3/24
822837fffffffff,california,38.193209,-122.196197,2024-06-03 00:00:00+00:00,64,18.758333333333333,67.52083333333333,16.875,243.45441637722305,0,0.11383333333333334,0.808125,4.833326,102,-1649.819635,9301,0.5383573148838018,224.62937124111536,1.7710454397295994,336.9931888604692,0,0,0,0,-1,0,2,810,0.420762037,0,0.23616643264463993,6/3/24
8228a7fffffffff,california,41.719697,-117.328141,2024-06-03 00:00:00+00:00,64,15.452083333333334,43.666666666666664,15.135416666666666,260.56202027894165,1.5,0.039520833,1.0595833333333333,2.4377325,122,0.6597433700488278,7080,0.22039923081366225,1655.254154576629,2.8284258770772883,239.18700734408452,0,0,0,0,-1,0,2,726.5,0.4618439814814815,0,0.3454284564007804,6/3/24
82290ffffffffff,california,34.484625,-126.603415,2024-06-03 00:00:00+00:00,64,15.424999999999999,92.20833333333333,27.208333333333332,316.23006736323777,0,0,0.13625,3.7907584,,,,,,,,0,0,0,0,-1,0,2,1306,0.49331018518518527,4,,6/3/24
82299ffffffffff,california,39.617628,-114.776561,2024-06-03 00:00:00+00:00,64,20.729166666666668,24.5,9.983333333333333,234.11942390393543,0,0.038270833,1.9152083333333334,8.726442,145,5.5852147689298235,7080,0.20020540876129794,1981.4594957003353,3.2222172879317883,12.675638830213382,0,0,0,0,-1,0,2,479.2,0.4921611111111111,0,0.2946246637867797,6/3/24
822817fffffffff,california,40.980162,-121.113641,2024-06-03 00:00:00+00:00,64,14.314583333333333,51.5,14.127083333333333,263.66746753666087,1,0.2615416666666667,0.8570833333333333,2.739118,122,16.67985321567962,7080,0.4345579672886687,1347.8096626307747,3.635081403550018,230.1808737860052,0,0,0,0,-1,0,2,678.0999999999999,0.27790787037037035,0,0.22702782962837265,6/3/24
